category,gender,is_fraud,median_household_income,poverty_rate,region,age,late_night,amt_thousand,city_pop_thousand
shopping_net,F,0,54711.0,15.7,South,37,0,1.1994500000000001,186.14
shopping_pos,F,0,37794.0,0.0,South,31,0,1.88153,0.53
travel,M,0,58802.0,5.9,South,36,0,0.61678,0.467
shopping_net,F,0,61726.0,5.2,Northeast,48,0,0.70559,1.368
shopping_net,F,0,56611.0,10.4,South,49,0,0.72414,46.563
shopping_net,F,0,65224.0,12.8,West,38,0,0.64464,1312.922
shopping_pos,M,0,110377.0,10.8,South,47,0,3.20498,5.927
travel,M,0,50584.0,17.8,Midwest,43,0,2.0680500000000004,1022.298
shopping_net,M,0,17049.0,27.7,Midwest,25,0,0.9819199999999999,128.715
shopping_pos,F,0,33175.0,19.2,West,32,0,0.6290800000000001,2.872
shopping_pos,F,0,56250.0,12.4,South,34,0,0.6860599999999999,11.432
shopping_net,M,0,50861.0,13.6,Northeast,39,0,1.4209,124.967
shopping_net,M,0,54283.0,16.6,Northeast,35,0,2.27166,76.383
shopping_pos,M,0,52564.0,16.6,West,26,0,0.7075499999999999,19.408
shopping_pos,F,0,80333.0,5.1,West,28,1,0.6615,525.713
misc_net,F,0,58802.0,10.4,West,19,1,0.89022,8.874
travel,F,0,97759.0,6.3,West,34,1,1.21423,94.014
misc_net,M,1,57083.0,14.1,Midwest,61,1,0.78052,1.306
entertainment,M,1,57083.0,14.1,Midwest,61,1,0.62033,1.306
shopping_net,M,1,69205.0,10.4,South,26,1,1.07769,71.335
shopping_pos,F,1,58802.0,10.4,South,50,1,0.84265,0.023
travel,F,0,40927.0,9.3,South,64,1,0.7869299999999999,0.263
shopping_net,M,1,69205.0,10.4,South,26,1,1.12826,71.335
shopping_net,M,1,69205.0,10.4,South,26,1,0.9318200000000001,71.335
shopping_net,M,1,69205.0,10.4,South,26,1,0.983,71.335
shopping_net,M,1,57083.0,14.1,Midwest,61,1,0.95516,1.306
misc_net,M,1,69205.0,10.4,South,26,1,0.7018099999999999,71.335
misc_net,F,0,56672.0,12.8,Northeast,43,1,0.72294,6.12
misc_net,F,0,51250.0,8.2,Midwest,51,1,0.97839,0.215
shopping_pos,F,0,46582.0,11.2,West,50,1,0.69677,45.303
misc_net,F,0,69113.0,16.1,South,83,1,0.8750399999999999,3.994
misc_net,M,1,69205.0,10.4,South,26,1,0.86848,71.335
shopping_pos,F,1,44648.0,10.9,South,34,1,0.7774500000000001,105.638
shopping_net,F,1,44648.0,10.9,South,34,0,0.96786,105.638
shopping_pos,M,0,93696.0,0.2,Midwest,71,0,1.67452,2.661
shopping_pos,F,0,83438.0,0.0,South,54,0,0.66376,0.099
misc_pos,F,0,85781.0,0.7,Northeast,61,0,0.6495599999999999,1.271
misc_pos,F,0,66477.0,23.4,Midwest,65,0,0.60625,0.35
misc_net,F,0,58365.0,13.5,Northeast,54,0,1.2355999999999998,1.606
misc_net,M,0,48750.0,23.7,Midwest,78,0,1.08592,0.14
misc_net,F,0,32629.0,31.6,South,55,0,0.79631,5.577
shopping_net,M,0,51912.0,12.9,Midwest,50,0,0.6345700000000001,23.805
misc_pos,M,0,40062.0,18.7,Midwest,27,0,0.81952,86.954
shopping_pos,F,0,97273.0,10.9,Northeast,41,0,0.91203,3.255
shopping_pos,F,0,90021.0,7.5,South,26,0,1.1705699999999999,391.389
misc_pos,M,0,58750.0,6.5,Midwest,33,0,1.1347,16.163
shopping_pos,F,0,72855.0,8.0,Midwest,48,0,1.2701,753.116
shopping_pos,F,0,61953.0,16.9,Northeast,45,0,0.64679,71.485
shopping_net,F,0,41950.0,7.9,South,32,0,1.4479000000000002,3.495
shopping_pos,F,0,93786.0,6.1,Midwest,15,0,0.72627,163.415
shopping_pos,M,0,161140.0,3.3,Midwest,33,0,1.44402,27.02
shopping_pos,F,0,44904.0,19.2,South,36,0,0.74725,21.134
shopping_pos,M,0,61067.0,2.2,Midwest,34,0,0.6500900000000001,409.656
misc_pos,F,0,46674.0,24.0,South,43,0,1.4221300000000001,1.051
shopping_pos,M,1,69205.0,10.4,South,26,0,0.8258099999999999,71.335
shopping_net,F,0,82217.0,8.8,West,47,1,0.61458,54.287
shopping_pos,F,0,46739.0,9.6,Midwest,32,1,1.06092,2.523
shopping_net,F,0,23936.0,41.0,South,29,1,0.72629,18.128
shopping_pos,M,0,31162.0,15.3,South,62,1,0.84481,1.196
misc_pos,M,0,51008.0,9.6,Northeast,51,1,0.62195,1.666
shopping_net,F,0,68526.0,9.2,West,53,1,0.6414099999999999,1.725
shopping_net,F,0,55526.0,0.0,West,91,1,1.08413,0.217
misc_net,M,0,137833.0,3.3,South,35,1,0.88507,13.602
shopping_net,F,0,53194.0,2.4,South,58,1,1.53276,1.143
shopping_net,F,0,71908.0,6.5,South,53,0,0.74294,2.435
misc_pos,M,0,43417.0,12.2,Midwest,50,0,1.74319,1.979
misc_net,F,0,58802.0,10.4,South,50,0,0.97581,0.023
shopping_net,M,0,50507.0,12.4,Midwest,84,0,2.07777,6.284
shopping_net,M,0,58802.0,10.4,Midwest,65,0,1.00894,0.076
misc_net,M,0,40610.0,18.2,South,74,0,0.82794,2.29
shopping_pos,M,0,111415.0,2.9,Northeast,41,0,0.89675,3.279
shopping_pos,F,0,52003.0,6.9,South,34,0,1.22508,50.835
shopping_net,F,0,75125.0,7.1,Midwest,26,0,0.70221,2.691
shopping_net,F,0,52003.0,6.9,South,34,0,0.71927,50.835
shopping_pos,F,0,70068.0,4.1,Northeast,32,0,0.95697,3.285
shopping_net,M,0,56596.0,7.1,Northeast,46,0,0.64232,5.507
shopping_net,M,0,83190.0,7.3,South,43,0,3.3447199999999997,33.917
shopping_pos,F,0,73849.0,4.4,Northeast,44,0,1.0268199999999998,1.643
shopping_pos,F,0,97759.0,6.3,West,34,0,0.65634,94.014
shopping_net,M,0,37262.0,17.8,South,44,0,1.3948900000000002,42.619
misc_pos,F,0,38646.0,12.0,Midwest,31,0,0.6648200000000001,0.338
shopping_net,F,0,80333.0,5.1,West,28,0,1.0643399999999998,525.713
shopping_pos,F,0,58802.0,10.4,West,41,0,1.4723199999999999,0.31
shopping_pos,F,0,37184.0,14.2,South,43,1,0.67022,7.155
travel,M,0,97234.0,13.2,Northeast,36,1,0.6525299999999999,1.858
shopping_net,F,0,45303.0,17.0,Midwest,45,1,2.72197,1.81
misc_net,F,0,50795.0,19.1,Midwest,54,1,0.7185,0.516
misc_net,M,0,36750.0,21.0,South,34,1,1.2618900000000002,2.836
shopping_pos,M,0,40610.0,18.2,South,74,0,1.09403,2.29
misc_pos,F,0,45958.0,11.9,South,53,0,0.61126,5.989
travel,F,0,42317.0,19.9,South,42,0,1.7352,16.183
shopping_pos,F,0,29401.0,36.0,South,36,0,0.83463,2906.7
shopping_net,M,0,68646.0,8.4,South,38,0,3.39684,7.163
misc_pos,F,0,98417.0,5.8,Northeast,47,0,0.75462,2.376
