category,gender,is_fraud,median_household_income,poverty_rate,region,age,late_night,amt_thousand,city_pop_thousand
shopping_net,F,0,54711,15.7,South,37,0,1.19945,186.14
shopping_pos,F,0,37794,0,South,31,0,1.88153,0.53
shopping_net,F,0,61726,5.2,Northeast,48,0,0.70559,1.368
shopping_net,F,0,56611,10.4,South,49,0,0.72414,46.563
shopping_net,F,0,65224,12.8,West,38,0,0.64464,1312.922
shopping_pos,M,0,110377,10.8,South,47,0,3.20498,5.927
travel,M,0,50584,17.8,Midwest,43,0,2.06805,1022.298
shopping_net,M,0,17049,27.7,Midwest,25,0,0.98192,128.715
shopping_pos,F,0,33175,19.2,West,32,0,0.62908,2.872
shopping_pos,F,0,56250,12.4,South,34,0,0.68606,11.432
shopping_net,M,0,50861,13.6,Northeast,39,0,1.4209,124.967
shopping_net,M,0,54283,16.6,Northeast,35,0,2.27166,76.383
shopping_pos,M,0,52564,16.6,West,26,0,0.70755,19.408
shopping_pos,F,0,80333,5.1,West,28,1,0.6615,525.713
travel,F,0,97759,6.3,West,34,1,1.21423,94.014
misc_net,M,1,57083,14.1,Midwest,61,1,0.78052,1.306
entertainment,M,1,57083,14.1,Midwest,61,1,0.62033,1.306
shopping_net,M,1,69205,10.4,South,26,1,1.07769,71.335
travel,F,0,40927,9.3,South,64,1,0.78693,0.263
shopping_net,M,1,69205,10.4,South,26,1,1.12826,71.335
shopping_net,M,1,69205,10.4,South,26,1,0.93182,71.335
shopping_net,M,1,69205,10.4,South,26,1,0.983,71.335
shopping_net,M,1,57083,14.1,Midwest,61,1,0.95516,1.306
misc_net,M,1,69205,10.4,South,26,1,0.70181,71.335
misc_net,F,0,56672,12.8,Northeast,43,1,0.72294,6.12
misc_net,F,0,51250,8.2,Midwest,51,1,0.97839,0.215
shopping_pos,F,0,46582,11.2,West,50,1,0.69677,45.303
misc_net,F,0,69113,16.1,South,83,1,0.87504,3.994
misc_net,M,1,69205,10.4,South,26,1,0.86848,71.335
shopping_pos,F,1,44648,10.9,South,34,1,0.77745,105.638
shopping_net,F,1,44648,10.9,South,34,0,0.96786,105.638
shopping_pos,M,0,93696,0.2,Midwest,71,0,1.67452,2.661
shopping_pos,F,0,83438,0,South,54,0,0.66376,0.099
misc_pos,F,0,85781,0.7,Northeast,61,0,0.64956,1.271
misc_pos,F,0,66477,23.4,Midwest,65,0,0.60625,0.35
misc_net,F,0,58365,13.5,Northeast,54,0,1.2356,1.606
misc_net,M,0,48750,23.7,Midwest,78,0,1.08592,0.14
